Security suite run against the fixed working tree (base commit dc6d5d8 plus the changes in this audit).
Node.js v24.21.0. No shims, no skipped tests.

Totals: passed 126, failed 0, skipped 0

## src/core.test.ts

passed | mergeServerErrors (CWE-1321, ASVS V15.3.6, F-5) > skips a __proto__ field error key
passed | path parsing: only canonical non-negative integers are indices (F-7) > keeps " 1" as a string segment
passed | path parsing: only canonical non-negative integers are indices (F-7) > keeps "+1" as a string segment
passed | path parsing: only canonical non-negative integers are indices (F-7) > keeps "Infinity" as a string segment
passed | path parsing: only canonical non-negative integers are indices (F-7) > keeps "NaN" as a string segment
passed | path parsing: only canonical non-negative integers are indices (F-7) > still treats canonical integers as indices
passed | path parsing: only canonical non-negative integers are indices (F-7) > builds an object, not an array, for a negative segment
passed | path parsing: empty paths are rejected (F-8) > rejects ""
passed | path parsing: empty paths are rejected (F-8) > rejects "."
passed | path parsing: empty paths are rejected (F-8) > rejects ".."
passed | path parsing: empty paths are rejected (F-8) > rejects "[]"
passed | path parsing: empty paths are rejected (F-8) > rejects "["
passed | path parsing: empty paths are rejected (F-8) > rejects "]"
passed | path parsing: empty paths are rejected (F-8) > rejects "[.]"
passed | path parsing: empty paths are rejected (F-8) > never writes a key named `undefined`
passed | error messages (F-10) > is a FormDataParseError with a Malformed-submission message
passed | error messages (F-10) > shortens a long key to at most 100 characters
passed | error messages (F-10) > never contains the submitted value
passed | parameter pollution > collects duplicate flat keys into an array (never a silent pick)
passed | parameter pollution > treats `role` and `[role]` as the same field, not a silent overwrite
passed | parameter pollution > rejects a key used as both a value and a container, in either order

## src/effect/security.test.ts

passed | prototype pollution (CWE-1321, F-1) > fails with InvalidBodyError for a __proto__ FormData key
passed | prototype pollution (CWE-1321, F-1) > fails for a __proto__ key in a urlencoded Request body
passed | prototype pollution (CWE-1321, F-1) > fails for a __proto__ key in a multipart Request body
passed | prototype pollution (CWE-1321, F-1) > fails for a __proto__ key in a GET query string
passed | JSON payloads get the same key rules (ASVS V1.5.3, F-9) > fails for a __proto__ key in a JSON Request body
passed | JSON payloads get the same key rules (ASVS V1.5.3, F-9) > fails for a nested constructor.prototype chain in a JSON body
passed | JSON payloads get the same key rules (ASVS V1.5.3, F-9) > fails for deep JSON nesting without a stack overflow
passed | JSON payloads get the same key rules (ASVS V1.5.3, F-9) > fails for a __proto__ key in an already-parsed payload
passed | JSON payloads get the same key rules (ASVS V1.5.3, F-9) > accepts an ordinary JSON body
passed | resource exhaustion (CWE-770, F-2, F-3) > fails fast for a huge sparse index
passed | resource exhaustion (CWE-770, F-2, F-3) > fails for an array length override
passed | resource exhaustion (CWE-770, F-2, F-3) > passes caller limits through
passed | mass assignment (CWE-915, ASVS V15.3.3) > drops undeclared keys from the output
passed | parameter pollution (CWE-235, ASVS V15.3.7) > reads only the body of a POST, never its query string
passed | parameter pollution (CWE-235, ASVS V15.3.7) > reads only the query string of a GET
passed | parameter pollution (CWE-235, ASVS V15.3.7) > fails validation when a string field is submitted twice

## src/zod/security.test.ts

passed | prototype pollution (CWE-1321, F-1) > rejects a __proto__ FormData key
passed | prototype pollution (CWE-1321, F-1) > rejects a constructor.prototype URLSearchParams key
passed | prototype pollution (CWE-1321, F-1) > keeps the Malformed-submission message
passed | JSON payloads get the same key rules (ASVS V1.5.3, F-9) > rejects a top-level __proto__ key
passed | JSON payloads get the same key rules (ASVS V1.5.3, F-9) > rejects a nested __proto__ key inside an array
passed | JSON payloads get the same key rules (ASVS V1.5.3, F-9) > rejects a constructor.prototype chain
passed | JSON payloads get the same key rules (ASVS V1.5.3, F-9) > rejects JSON nesting above maxDepth without a stack overflow
passed | JSON payloads get the same key rules (ASVS V1.5.3, F-9) > does not descend into non-plain values (Date, File, class instances)
passed | JSON payloads get the same key rules (ASVS V1.5.3, F-9) > accepts an ordinary JSON payload
passed | resource exhaustion (CWE-770, F-2, F-3) > rejects a huge sparse index before the schema walk allocates
passed | resource exhaustion (CWE-770, F-2, F-3) > rejects an array length override
passed | resource exhaustion (CWE-770, F-2, F-3) > passes caller limits through
passed | mass assignment (CWE-915, ASVS V15.3.3) > strips undeclared keys from the output
passed | parameter pollution and type confusion (CWE-235, ASVS V15.3.5, V15.3.7) > fails validation when a string field is submitted twice
passed | parameter pollution and type confusion (CWE-235, ASVS V15.3.5, V15.3.7) > does not coerce a value the schema does not ask for
passed | parameter pollution and type confusion (CWE-235, ASVS V15.3.5, V15.3.7) > does not coerce an unknown boolean spelling
passed | reply field errors > keeps dangerous-looking caller fieldErrors as own keys only
